date,cash,shares,close,market_value,equity
2021-06-29,100000.0,0,17.7,0.0,100000.0
2021-06-30,100000.0,0,18.32,0.0,100000.0
2021-07-01,100000.0,0,18.01,0.0,100000.0
2021-07-02,100000.0,0,17.51,0.0,100000.0
2021-07-05,100000.0,0,17.88,0.0,100000.0
2021-07-06,100000.0,0,17.43,0.0,100000.0
2021-07-07,100000.0,0,17.22,0.0,100000.0
2021-07-08,100000.0,0,17.43,0.0,100000.0
2021-07-09,100000.0,0,17.05,0.0,100000.0
2021-07-12,100000.0,0,17.45,0.0,100000.0
2021-07-13,100000.0,0,17.11,0.0,100000.0
2021-07-14,100000.0,0,16.53,0.0,100000.0
2021-07-15,100000.0,0,16.43,0.0,100000.0
2021-07-16,100000.0,0,16.35,0.0,100000.0
2021-07-19,100000.0,0,16.22,0.0,100000.0
2021-07-20,100000.0,0,16.37,0.0,100000.0
2021-07-21,100000.0,0,16.38,0.0,100000.0
2021-07-22,100000.0,0,16.48,0.0,100000.0
2021-07-23,100000.0,0,16.01,0.0,100000.0
2021-07-26,100000.0,0,16.17,0.0,100000.0
2021-07-27,100000.0,0,16.73,0.0,100000.0
2021-07-28,100000.0,0,16.45,0.0,100000.0
2021-07-29,100000.0,0,17.02,0.0,100000.0
2021-07-30,100000.0,0,17.61,0.0,100000.0
2021-08-02,100000.0,0,17.65,0.0,100000.0
2021-08-03,100000.0,0,16.94,0.0,100000.0
2021-08-04,100000.0,0,17.09,0.0,100000.0
2021-08-05,100000.0,0,16.6,0.0,100000.0
2021-08-06,100000.0,0,16.82,0.0,100000.0
2021-08-09,100000.0,0,16.6,0.0,100000.0
2021-08-10,100000.0,0,16.68,0.0,100000.0
2021-08-11,100000.0,0,16.48,0.0,100000.0
2021-08-12,100000.0,0,16.56,0.0,100000.0
2021-08-13,100000.0,0,16.28,0.0,100000.0
2021-08-16,100000.0,0,16.36,0.0,100000.0
2021-08-17,100000.0,0,16.01,0.0,100000.0
2021-08-18,100000.0,0,16.07,0.0,100000.0
2021-08-19,100000.0,0,16.14,0.0,100000.0
2021-08-20,100000.0,0,16.48,0.0,100000.0
2021-08-23,100000.0,0,16.44,0.0,100000.0
2021-08-24,100000.0,0,16.31,0.0,100000.0
2021-08-25,100000.0,0,16.28,0.0,100000.0
2021-08-26,100000.0,0,15.85,0.0,100000.0
2021-08-27,100000.0,0,15.38,0.0,100000.0
2021-08-30,100000.0,0,15.41,0.0,100000.0
2021-08-31,100000.0,0,15.13,0.0,100000.0
2021-09-01,100000.0,0,15.28,0.0,100000.0
2021-09-02,100000.0,0,15.07,0.0,100000.0
2021-09-03,100000.0,0,15.3,0.0,100000.0
2021-09-06,100000.0,0,15.53,0.0,100000.0
2021-09-07,100000.0,0,15.54,0.0,100000.0
2021-09-08,100000.0,0,15.49,0.0,100000.0
2021-09-09,100000.0,0,15.3,0.0,100000.0
2021-09-10,100000.0,0,15.51,0.0,100000.0
2021-09-13,100000.0,0,15.24,0.0,100000.0
2021-09-14,100000.0,0,15.16,0.0,100000.0
2021-09-15,100000.0,0,15.01,0.0,100000.0
2021-09-16,100000.0,0,14.68,0.0,100000.0
