trade_id,buy_date,buy_price,buy_shares,buy_amount,buy_fee,sell_date,sell_price,sell_amount,sell_fee,profit,return_pct,holding_days,sell_reason
1,2021-12-07,15.13,5900,89267.0,89.27,2021-12-27,15.22,89798.0,89.8,351.93,0.3939,20,跌破MA20或MA20小于MA60
2,2022-07-18,10.93,8200,89626.0,89.63,2022-08-25,12.23,100286.0,100.29,10470.09,11.6703,38,跌破MA20或MA20小于MA60
3,2022-12-06,11.28,8800,99264.0,99.26,2022-12-08,11.03,97064.0,97.06,-2396.33,-2.4117,2,跌破MA20或MA20小于MA60
4,2023-03-01,11.79,8200,96678.0,96.68,2023-03-08,11.87,97334.0,97.33,461.99,0.4774,7,跌破MA20或MA20小于MA60
5,2023-03-09,12.22,8000,97760.0,97.76,2023-04-27,15.89,127120.0,127.12,29135.12,29.7729,49,跌破MA20或MA20小于MA60
6,2023-05-17,18.53,6600,122298.0,122.3,2023-06-21,20.35,134310.0,134.31,11755.39,9.6025,35,跌破MA20或MA20小于MA60
7,2023-07-12,20.21,6600,133386.0,133.39,2023-07-21,19.06,125796.0,125.8,-7849.18,-5.8787,9,跌破MA20或MA20小于MA60
8,2023-12-05,16.82,7500,126150.0,126.15,2023-12-06,16.1,120750.0,120.75,-5646.9,-4.4719,1,跌破MA20或MA20小于MA60
9,2024-06-27,14.0,8700,121800.0,121.8,2024-06-28,14.08,122496.0,122.5,451.7,0.3705,1,跌破MA20或MA20小于MA60
10,2024-07-01,14.59,8400,122556.0,122.56,2024-07-03,14.23,119532.0,119.53,-3266.09,-2.6623,2,跌破MA20或MA20小于MA60
11,2024-07-12,14.64,8100,118584.0,118.58,2024-07-18,13.85,112185.0,112.19,-6629.77,-5.5852,6,跌破MA20或MA20小于MA60
12,2024-07-22,14.56,7800,113568.0,113.57,2024-07-24,13.87,108186.0,108.19,-5603.75,-4.9293,2,跌破MA20或MA20小于MA60
13,2024-08-02,13.9,7800,108420.0,108.42,2024-08-05,13.34,104052.0,104.05,-4580.47,-4.2205,3,跌破MA20或MA20小于MA60
14,2024-11-22,20.55,5100,104805.0,104.81,2024-11-25,19.09,97359.0,97.36,-7648.16,-7.2902,3,跌破MA20或MA20小于MA60
15,2024-12-03,20.32,4800,97536.0,97.54,2024-12-04,20.06,96288.0,96.29,-1441.82,-1.4768,1,跌破MA20或MA20小于MA60
16,2024-12-13,19.49,4900,95501.0,95.5,2024-12-16,19.27,94423.0,94.42,-1267.92,-1.3263,3,跌破MA20或MA20小于MA60
17,2024-12-20,19.49,4900,95501.0,95.5,2024-12-26,19.21,94129.0,94.13,-1561.63,-1.6336,6,跌破MA20或MA20小于MA60
18,2024-12-27,19.99,4700,93953.0,93.95,2025-01-02,18.62,87514.0,87.51,-6620.47,-7.0395,6,跌破MA20或MA20小于MA60
19,2025-03-05,20.19,4300,86817.0,86.82,2025-03-06,20.09,86387.0,86.39,-603.2,-0.6941,1,跌破MA20或MA20小于MA60
20,2025-03-07,20.0,4300,86000.0,86.0,2025-03-10,19.65,84495.0,84.5,-1675.49,-1.9463,3,跌破MA20或MA20小于MA60
21,2025-03-18,20.17,4200,84714.0,84.71,2025-03-20,19.76,82992.0,82.99,-1889.71,-2.2285,2,跌破MA20或MA20小于MA60
22,2025-07-25,18.47,4500,83115.0,83.11,2025-08-01,18.36,82620.0,82.62,-660.74,-0.7942,7,跌破MA20或MA20小于MA60
23,2025-08-07,18.48,4500,83160.0,83.16,2025-08-11,18.27,82215.0,82.22,-1110.38,-1.3339,4,跌破MA20或MA20小于MA60
24,2025-08-12,18.88,4300,81184.0,81.18,2025-09-04,20.13,86559.0,86.56,5207.26,6.4077,23,跌破MA20或MA20小于MA60
25,2025-09-12,20.39,4200,85638.0,85.64,2025-11-03,26.78,112476.0,112.48,26639.89,31.0765,52,跌破MA20或MA20小于MA60
26,2026-02-04,28.99,3800,110162.0,110.16,2026-02-05,27.12,103056.0,103.06,-7319.22,-6.6374,1,跌破MA20或MA20小于MA60
27,2026-02-24,32.28,3200,103296.0,103.3,2026-03-04,30.46,97472.0,97.47,-6024.77,-5.8267,8,跌破MA20或MA20小于MA60
28,2026-03-05,32.2,3000,96600.0,96.6,2026-03-16,30.68,92040.0,92.04,-4748.64,-4.9109,11,跌破MA20或MA20小于MA60
29,2026-03-17,32.25,2900,93525.0,93.53,2026-03-23,28.99,84071.0,84.07,-9631.6,-10.2881,6,跌破MA20或MA20小于MA60
30,2026-06-11,37.78,2200,83116.0,83.12,2026-06-15,37.88,83336.0,83.34,53.55,0.0644,4,跌破MA20或MA20小于MA60
31,2026-06-16,39.75,2100,83475.0,83.48,2026-07-08,52.08,109368.0,109.37,25700.16,30.7571,22,回测结束强制平仓
